Column;de;en
card_description_evolvethistle;Lässt bis zu 6 verbündete Saatlinge zu Disteln heranwachsen.;Evolve up to 6 allied Saplings into Thistles.
card_short_description_evolvethistle;Lässt bis zu 6 verbündete Saatlinge zu Disteln heranwachsen.;Evolve up to 6 allied Saplings into Thistles.
card_name_footman;Fußsoldat;Footman
card_name_footman_drop;Fußsoldaten;Footmen
card_name_footman_spawner;Fußsoldaten-Spawner;Footmen Spawner
card_name_forestguardian;Wächter des Waldes;Forest Guardian
card_name_freeze;Kältesturz;Freeze
card_description_freeze;Lässt bis zu 10 gegnerische Einheiten gefrieren. §effect_frozen_description;Freezes up to 10 enemy units. §effect_frozen_description
card_short_description_freeze;Lässt bis zu 10 gegnerische Einheiten gefrieren.;Freezes up to 10 enemy units.
card_name_frenzy;Raserei;Frenzy
card_description_frenzy;Eine verbündete Einheit verfällt in Raserei und verdoppelt ihre Angriffsgeschwindigkeit für 20 Sekunden. Nahkämpfer heilen sich zusätzlich für jeden Angriff um 20 und Fernkämpfer können ein zusätzliches Ziel angreifen. Nach Ablauf der Zeit stirbt sie.;An allied unit is frenzied, doubling its attack speed for 20s. Melee units heal themselves for each attack by 20 and ranged units can attack one more target. Afterwards the unit dies.
card_short_description_frenzy;Eine verbündete Einheit verfällt in Raserei für 20 Sekunden.;An allied unit is frenzied for 20 seconds.
card_name_frostgoyle;Frostspeier;Frostgoyle
card_name_frostgoyle_drop;Frostspeier;Frostgoyles
card_name_frostgoyle_spawner;Frostspeier-Spawner;Frostgoyles Spawner
card_name_frostgoylefountain;Frostspeierfontäne;Frostgoyle Fountain
card_name_frostspear;Frostschock;Frost Shock
card_description_frostspear;Eine eingefrorene Einheit erhält 250 Schaden. Wenn sie überlegt, werden 30 Gold zurückerstattet.;A frozen unit is dealt 250 damage. If it survives 30 gold is refunded.
card_short_description_frostspear;Fügt einer gefrorenen Einheit Schaden zu. Erstattet Gold, wenn sie überlebt.;Deals high damage to a frozen unit. Refunds gold if it survives.
card_name_gatlingdrone;Gatlingdrohne;Gatlingdrone
card_name_gatlingdrone_drop;Gatlingdrohne;Gatlingdrone
card_name_gatlingdrone_spawner;Gatlingdrohnen-Spawner;Gatlingdrone Spawner
card_name_gatlingturret;Gatlinggeschütz;Gatlingturret
card_name_giantgrowth;Riesenwuchs;Giant Growth
card_description_giantgrowth;Lässt eine verbündete Einheit wachsen. Sie erhöht ihre maximalen Leben um 220 und regeneriert 2% ihrer maximalen Leben pro Sekunde. Hält 20 Sekunden an.;Increases the maximum health by 220 of one targeted allied unit and regenerates it by 2% of its maximum health per second for 20 seconds.
card_short_description_giantgrowth;Erhöht die Leben einer verbündeten Einheit und regeneriert sie für eine kurze Zeit.;Increases the maximum health of one targeted allied unit and regenerates it for a short time.
card_name_GolemLaneTowerLevel1;Kristallaußenposten;Crystal Outpost
card_name_GolemLaneTowerLevel2;Kristallwachturm;Crystal Guardtower
card_name_GolemLaneTowerLevel3;Kristallbollwerk;Crystal Bulwark
card_name_hailofarrows;Pfeilhagel;Hail of Arrows
card_description_hailofarrows;Schießt 3 Wellen von Pfeilen auf das Zielgebiet. Gegnerische Einheiten nehmen pro Welle 11 Schaden. Für jeden in der Nähe befindlichen Bogenschützen wird eine zusätzliche Welle abgefeuert.;Fires 2 waves of arrows each dealing 11 damage to all enemy units in range. An additional wave of arrows is fired for each additional Archer nearby.
card_short_description_hailofarrows;Schießt, unterstützt durch nahe Bogenschützen, Pfeilwellen auf das Zielgebiet.;Fires waves of arrows onto target area. Nearby Archers enhance this effect.
card_name_healinggarden;Puls des Waldes;Pulse of the Forest
card_description_healinggarden;Regeneriert in 10 Wellen alle verbündeten Einheiten in Reichweite um 5% ihrer maximalen Leben pro Welle.;Emits 10 waves which regenerates all allied units for 5% of their maximum health per wave.
card_short_description_healinggarden;Regeneriert in Wellen entsprechend der Maximalleben.;Regenerates all units in an area in waves.
card_name_heartoftheforest;Herz des Waldes;Heart of the Forest
card_name_heartoftheforest_spawner;Herz des Waldes-Spawner;Heart of the Forest Spawner
card_name_heavygunner;Kanonier;Heavy Gunner
card_name_heavygunner_drop;Kanonier;Heavy Gunner
card_name_heavygunner_spawner;Kanonier-Spawner;Heavy Gunner Spawner
card_name_highheli;Unterdrücker;Oppressor
card_name_highheli_drop;Unterdrücker;Oppressor
card_name_highheli_spawner;Unterdrücker-Spawner;Oppressor Spawner
card_name_lanenode;Eroberungspunkt;Capture Point
card_description_lanenode;Wenn ausschließlich Einheiten eines Teams sich im Bereich des Eroberungspunkt befinden, wird dieser für das Team eingenommen und mit einem leichten Wehrturm befestigt. Wenn der Wehrturm fällt kann der Punkt erneut von beiden Teams erobert werden, ist aber für 60 Sekunden für den vorherigen Besitzer gesperrt.;If only units of any one team are in range of the capture point, it is captured and will fortified with a light guard tower. If a guard tower is destroyed, the point can be captured again from both teams, but is locked for 60 seconds for the former owner.
card_name_lanetowerlevel1;Leichter Wehrturm;Light Guard Tower
card_name_lanetowerlevel2;Wehrturm;Guard Tower
card_name_lanetowerlevel3;Schwerer Wehrturm;Heavy Guard Tower
card_name_lightpulse;Lichtimpuls;Light Pulse
card_description_lightpulse;Betäubt und blendet bis zu 12 gegnerische Einheiten im Zielbereich für 15 Sekunden. §effect_stunned_description §effect_blind_description;Stuns and blinds up to 12 enemy units for 15 seconds. §effect_stunned_description §effect_blind_description
card_short_description_lightpulse;Betäubt und blendet bis zu 12 gegnerische Einheiten im Zielbereich.;Stuns and blinds up to 12 enemy units.
card_name_marksman;Scharfschütze;Marksman
card_name_marksman_drop;Scharfschütze;Marksman
card_name_marksman_spawner;Scharfschützen-Spawner;Marksman Spawner
card_name_mediummeleegolem;Granitvorhut;Granite Vanguard
card_name_mediummeleegolem_drop;Granitvorhut;Granite Vanguards
card_name_mediummeleegolem_spawner;Granitvorhut-Spawner;Granite Vanguard Spawner
card_name_meleegolemtower;Granitwache;Granite Bouncer
card_name_missileturret;Raketenwerfer;Missileturret
card_name_monk;Mönch;Monk
card_name_monk_drop;Mönch;Monk
card_name_monk_spawner;Mönch-Spawner;Monk-Spawner
card_name_monumentoflight;Monument des Lichts;Monument of Light
card_name_nexuslevel1;Nexus;Nexus
card_name_nexuslevel2;Nexus;Nexus
card_name_nexuslevel3;Nexus;Nexus
card_name_oracle;Orakel;Oracle
card_name_oracle_drop;Orakel;Oracle
card_name_oracle_spawner;Orakel-Spawner;Oracle Spawner
card_name_patronsaint;Selga, Schutzpatronin des Lichts;Selga, Patron Saint of Light
card_name_patronsaint_drop;Selga, Schutzpatronin des Lichts;Selga, Patron Saint of Light
card_name_patronsaint_spawner;Selga, Schutzpatronin des Lichts-Spawner;Selga, Patron Saint of Light Spawner
card_name_permafrost;Tieffrieren;Permafrost
card_description_permafrost;Gefriert eine Einheit permanent. Sie reduziert jeglichen eintreffenden Schaden um 60%, kann nicht geheilt werden und erhält jede Sekunde Schaden in Höhe von 5% ihrer maximalen Leben durch Gefrierbrand.;Freezes a unit permanently. Reduces all incoming damage by 60%, makes it unhealable and receives every second 5% of its maximum health as damage by frostbite.
card_short_description_permafrost;Gefriert eine Einheit permanent und macht sie sehr zäh.;Freezes a unit permanently making it very tough.
card_name_priest;Priester;Priest
card_name_priest_drop;Priester;Priest
card_name_priest_spawner;Priester-Spawner;Priest Spawner
card_name_promiseoflife;Schild des Lichts;Promise of Life
card_description_promiseoflife;Platziert ein Schild aus Licht auf bis zu 10 verbündeten Einheiten im Zielbereich und schützt sie 30 Sekunden lang. §effect_guarded_description;Places a shield on up to 10 allied units in range to guard them for 30 seconds. §effect_guarded_description
card_short_description_promiseoflife;Beschützt verbündete Einheiten mit Unbesiegbarkeit einmalig vor dem Tod.;Prevent allied units from dying once with a invincible shield.
card_name_ripoutsoul;Seelenmahlstrom;Soul Maelstrom
card_description_ripoutsoul;Setzt die Seele von bis zu 10 Einheiten im Zielgebiet frei, macht sie seelenlos und fügt ihnen zusätzlich Schaden in Höhe von 25% ihrer maximalen Leben zu. §effect_soulless_description;Extracts the soul of up to 10 units in target area, makes them soulless and additionally deals 25% of their maximum health as damage. §effect_soulless_description
card_short_description_ripoutsoul;Setzt die Seele von Einheiten frei und fügt ihnen Schaden zu.;Extracts the souls of units and deals damage.
card_name_rootdude;Eichenbotschafter;Oak Ambassador
card_name_rootdude_drop;Eichenbotschafter;Oak Ambassador
card_name_rootdude_spawner;Eichenbotschafter-Spawner;Oak Ambassador Spawner
card_name_rootling;Wurzling;Rootling
card_name_rootling_drop;Wurzling;Rootling
card_name_rootling_spawner;Wurzling-Spawner;Rootling Spawner
card_name_sapling;Saatling;Sapling
card_name_saplingcharge;Sturm der Saatlinge;Sapling Charge
card_description_saplingcharge;Beschwört einmalig 15 Saatlinge und zusätzlich brechen jeweils 5 Saatlinge in 11 Wellen aus dem Boden hervor. Saatlinge leben nur 17 Sekunden lang. Jeder Spieler kann nur eine legendäre Karte zur gleichen Zeit auf dem Schlachtfeld aktiv haben.;Summons 15 Saplings on cast and an additional 5 for 11 Waves. (Saplings lifetime is limited to 17 seconds) Each player can only have one legendary card active at the same time.
card_short_description_saplingcharge;Legendär. Beschwört eine Horde von Saatlingen im Zielgebiet.;Legendary. Summons a horde of Saplings in target area.
card_name_saplingfarm;Saatlinghügel;Sapling Hill
card_name_shatterice;Eis zerschmettern;Shatter Ice
card_description_shatterice;Fügt allen gegnerischen, gefrorenen Einheiten im Zielgebiet 1000 Schaden zu.;Deals 1000 damage to all frozen enemy units in target area.
card_short_description_shatterice;Fügt gefrorenen Gegnern massiven Schaden zu.;Deals massive damage to frozen enemies.
card_name_shieldgenerator;Nexus;Nexus
card_name_shieldsup;Schilde hoch!;Shields Up!
card_description_shieldsup;Bis zu 16 verbündete Einheiten, die keinen Schildblock haben, erhalten einen Schildblock. §effect_shieldblock_description;Up to 16 allied units, which do not have a shield block, gain a shield block. §effect_shieldblock_description
card_short_description_shieldsup;Gibt verbündeten Einheiten im Zielgebiet einen Schildblock.;Gives allied units in target area a shield block.
card_name_siegegolem;Kristallvollstrecker;Crystal Enforcer
card_name_siegegolem_drop;Kristallvollstrecker;Crystal Enforcer
card_name_siegegolem_spawner;Kristallvollstrecker-Spawner;Crystal Enforcer Spawner
card_name_smallcastergolem;Kristallsänger;Crystal Chanter
card_name_smallcastergolem_drop;Kristallsänger;Crystal Chanter
card_name_smallcastergolem_spawner;Kristallsänger-Spawner;Crystal Chanter Spawner
card_name_smallflyinggolem;Kristallbeobachter;Crystal Observer
card_name_smallflyinggolem_drop;Kristallbeobachter;Crystal Observer
card_name_smallflyinggolem_spawner;Kristallbeobachter-Spawner;Crystal Observer Spawner
card_name_smallgolemtower;Kristallschrein;Crystal Shrine
card_name_smallmeleegolem;Granitkundschafter;Granite Scout
card_name_smallmeleegolem_drop;Granitkundschafter;Granite Scouts
card_name_smallmeleegolem_spawner;Granitkundschafter-Spawner;Granite Scout Spawner
card_name_smallrangedgolem;Steinweber;Stone Weaver
card_name_smallrangedgolem_drop;Steinweber;Stone Weavers
card_name_smallrangedgolem_spawner;Steinweber-Spawner;Stone Weaver Spawner
card_name_solarflare;Sonneneruption;Solar Flare
card_description_solarflare;Heilt eine verbündete Einheit um 650 und lässt 10 Sekunden lang Heilblitze um sie herum auf andere verbündete Einheiten regnen, welche diese um 15 heilen. §effect_overheal_description;Heals target allied unit by 650 and creates an aura that heals other nearby units by 15 for the next 10 seconds.  §effect_overheal_description
card_short_description_solarflare;Heilt eine verbündete Einheit stark und danach umliegende Einheiten. Kann überheilen.;Heals target allied unit and provides a healing aura that overheals.
card_name_spore;Sporenschweber;Spore
card_name_spore_spawner;Sporenschweber-Spawner;Spore Spawner
card_name_stonegolem;Steingolem;Stone Golem
card_name_stonegolem_spawner;Steingolem-Spawner;Stone Golem Spawner
card_name_suntower;Wachturm;Watchtower
card_name_surgeoflight;Lichtschwall;Surge of Light
card_description_surgeoflight;Ein Lichtstrahl schießt auf die Erde hinab und trifft eine Einheit. Wenn sie feindlich ist wird jegliche Überheilung naher verbündeter Einheiten entfernt und der Zieleinheit als Schaden plus 40 zugefügt. Wenn sie verbündet ist wird sie um 220 Leben geheilt. §effect_overheal_description;If the target is an enemy all overheal of surrounding allies is removed and dealt as damage plus 40 to the target. If it is an ally the target is healed for 220 health. §effect_overheal_description
card_short_description_surgeoflight;Verletzt eine feindliche Einheit oder heilt eine verbündete Einheit. Kann überheilen.;Damages target enemy unit or heals target allied unit. Can overheal.
card_name_thistle;Distel;Thistle
card_name_thistle_drop;Disteln;Thistles
card_name_thistle_spawner;Distel-Spawner;Thistles Spawner
card_name_tyrus;Tyrus, Herr der Seelen;Tyrus, Lord of Souls
card_name_undying;Unverwüstlichkeit;Undying
card_description_undying;Verleiht einer verbündeten Einheit Unverwüstlichkeit. §effect_undying_description;Target allied unit becomes undying. §effect_undying_description
card_short_description_undying;Verleiht einer verbündeten Einheit Unverwüstlichkeit.;Target allied unit becomes undying.
card_name_vecra;Vecra, Monarchin des Frosts;Vecra, Monarch of Frost
card_name_voidaltar;Seelenaltar;Soul Altar
card_name_voidbane;Leerenbringer;Void Bane
card_name_voidbane_drop;Leerenbringer;Void Bane
card_name_voidbane_spawner;Leerenbringer-Spawner;Void Bane Spawner
card_name_voidbowman;Skelett-Bogenschütze;Skeleton Archer
card_name_voidbowman_drop;Skelett-Bogenschützen;Skeleton Archers
card_name_voidbowman_spawner;Skelett-Bogenschützen-Spawner;Skeleton Archers Spawner
card_name_voidcauldron;Seelenkessel;Soul Cauldron
card_name_voidcauldron_drop;Seelenkessel;Soul Cauldron
card_name_voidcauldron_spawner;Seelenkessel-Spawner;Soul Cauldron Spawner
card_name_voidskeleton;Skelett;Skeleton
card_name_voidskeleton_drop;Skelette;Skeletons
card_name_voidskeleton_spawner;Skelett-Spawner;Skeletons Spawner
card_name_voidslime;Spiegelschleim;Mirror Slime
card_name_voidslime_drop;Spiegelschleim;Mirror Slime
card_name_voidslime_spawner;Spiegelschleim-Spawner;Mirror Slime Spawner
card_name_voidworm;Frostwurm;Frostworm
card_name_voidworm_drop;Frostwurm;Frostworm
card_name_voidworm_spawner;Frostwurm-Spawner;Frostworm Spawner
card_name_voidwraith;Lich;Lich
card_name_voidwraith_drop;Lich;Lich
card_name_voidwraith_spawner;Lich-Spawner;Lich Spawner
card_name_weakbasetower;Befestigungsturm;Fortified Tower
card_name_woodwalker;Waldläufer;Woodwalker
card_name_woodwalker_spawner;Waldläufer-Spawner;Woodwalker Spawner
card_requirement_card_unlock;Schalte die Karte „%s“ frei.;"Unlock the card ""%s""."
card_requirement_currency_spent;Gib %s %s im Shop aus.;Spend %d %s in the shop.
card_requirement_player_level;Erreiche Level %s.;Reach level %d.
card_requirement_event_card_play_;Spiele %d mal die Karte „%s“ aus.;"Play the card ""%1:s""%0:d times."
card_requirement_event_unit_spawns_;Erschaffe %d mal ein %s.;Summon %1:s %0:d times.
card_requirement_event_unit_kills_;Töte %d feindliche Einheiten mit %s.;Kill %d enemy units using %s.
card_requirement_event_unit_deaths_;Verliere %d %s.;Lose %d %s.
card_requirement_event_wela_triggers_;Löse %d mal %s aus.;Trigger %d %s times.
card_requirement_event_wela_targets_;Lass %d Einheiten das Ziel von %s werden.;Target %d units with %s.
card_requirement_event_wela_spawns_;Beschwöre %d Einheiten mit %s.;Summon %d units with %s.
card_requirement_event_wela_kills_;Töte %d Einheiten mit %s.;Kill %d units with %s.
card_requirement_event_wela_deaths_;Verliere %d Einheiten mit %s.;Lose %d units with %s.
card_requirement_event_wela_duration_;Halte %d Sekunden %s aufrecht.;Keep %d active for %s seconds.
card_requirement_event_wela_gain_damage_;Lass deine Einheiten %d Schaden erhalten während sie %s haben.;Let your units take %d damage while having %s.
card_requirement_event_wela_dealt_damage_;Lass deine Einheiten %d Schaden verursachen während sie %s haben.;Let your units deal %d damage while having %s.
card_requirement_event_global_kills;Töte %d feindliche Einheiten.;Kill %d enemy units.
card_requirement_event_global_instakills;Töte %d feindlichen Einheiten mit jeweils nur einem Schlag.;Kill %d enemy units each by a single strike.
card_requirement_event_global_gain_damage;Lass deine Einheiten insgesamt %d Schaden erhalten.;Let your units take %d damage altogether.
card_requirement_event_global_deaths;Verliere %d Einheiten.;Lose %d units.
card_requirement_event_global_instadeaths;Verliere %d Einheiten jeweils durch nur einem Schlag.;Lose %d units each by a single strike.
card_requirement_event_global_spawns;Beschwöre %d Einheiten.;Summon %d units.
card_requirement_event_unit_kills_voidworm;Töte %d feindliche Einheiten mit Frostwürmern.;Kill %d enemy units with Frostworms.
card_requirement_event_wela_targets_deathrattlefrostexplosion;Friere %d Einheiten mit der Fähigkeit Todesröcheln: Frostschleim ein.;Freeze %d enemy units with the ability Deathrattle: Frostexplosion.
card_requirement_event_wela_kills_frenzy;Töte %d feindliche Einheiten durch Einheiten die durch Raserei verstärkt sind.;Kill %d enemy units with units empowered by Frenzy.
card_requirement_event_unit_spawns_voidworm;Beschwöre %d Frostwürmer.;Spawn %d Frostworms.
card_requirement_event_wela_triggers_frostspearmodefrost;Nutze %d mal den Frostschock um Einheiten einzufrieren.;Use Frostshock %d times to freeze units.
card_requirement_event_wela_kills_frostspear;Töte %d Einheiten mit dem Frostschock.;Kill %d enemy units with Frostshock.
card_requirement_event_wela_targets_frozen;Friere %d feindliche Einheiten ein.;Freeze %d enemy units.
card_requirement_event_wela_targets_soulless;Entziehe die Seele von %d feindlichen Einheiten.;Remove the soul of %d enemy units.
card_requirement_event_wela_kills_melee;Töte %d Einheiten mit Nahkampfeinheiten.;Kill %d units using melee units.
card_requirement_event_wela_targets_soulgatherer;Sammle %d Seelen mit Seelensammler-Fähigkeiten.;Gather %d souls using soulgatherer abilities.
card_requirement_event_wela_kills_soulseeker;Töte %d Einheiten mit Einheiten deren Seelensucher-Fähigkeit aktiv ist.;Kill %d units with units that have Soulseeker active.
card_requirement_event_wela_triggers_buildingblastmax;Löse %d mal die Fähigkeit §unitability_name_deathrattleblast mit maximaler Seelenladung aus.;Trigger §unitability_name_deathrattleblast with maximum souls %d times.
card_requirement_event_wela_kills_with_two_state_effects;Töte %d Einheiten auf denen mindestens zwei Statuseffekt wirken.;Kill %d units with at least two status effects on them.
card_requirement_event_wela_kills_frozen;Töte %d eingefrorene Einheiten.;Kill %d frozen units.
card_requirement_event_wela_triggers_soulgathererundying;Löse %d mal die Fähigkeit Seelensammler: Unverwüstlich aus.;Trigger Soulgatherer: Undying %d times.
card_requirement_event_wela_kills_shatterice;Töte %d Einheiten mit Eis zerschmettern.;Kill %d units with Shatter Ice.
card_requirement_event_wela_kills_undying;Töte %d Einheiten mit Einheiten deren Unverwüstlichkeit ausgelöst hat.;Kill %d units with units that have Undying active.
card_requirement_event_global_kills_with_two_state_effects;Töte %d Einheiten die mindestens von zwei Statuseffekten betroffen sind.;Kill %d units with at least two status effects on them.
card_requirement_event_unit_kills_frostgoyle;Töte %d Einheiten mit Frostgoyles.;Kill %d units with Frostgoyles.
card_requirement_event_wela_triggers_soulconsumed;Nutze %d Fähigkeiten welche Seelen zum Auslösen verbrauchen.;Use %d abilities that need souls to activate.
card_requirement_event_wela_targets_mirrorstatus;Spiegle %d Statuseffekte mit der Fähigkeit Statusreflektor.;Mirror %d status effects with Status Reflector.
card_requirement_event_wela_targets_powerfuldebutsoulvortex;Entziehe %d Einheiten die Seele mit Epischer Auftritt: Seelenstrudel.;Extract the soul of %d units with Powerful Debut: Soul Vortex.
card_requirement_event_wela_targets_icyprison;Friere %d Einheiten mit Schwacher Auftritt: Eisgefängnis ein.;Freeze %d units with Weak Debut: Icy Prison.
card_requirement_event_wela_targets_souldonor;Übertrage %d Seelen mit der Fähigkeit §unitability_name_souldonor.;Transfer %d souls with §unitability_name_souldonor.
card_requirement_event_wela_gain_damage_permafrost;Lass deinen Einheiten die von Permafrost betroffen sind insgesamt %d Schaden erhalten.;Let your units affected by Permafrost take %d damage.
card_requirement_event_wela_targets_ripoutsoul;Wende §card_name_ripoutsoul auf %d Einheiten an.;Apply §card_name_ripoutsoul to %d units.
card_requirement_event_wela_kills_flying;Töte %d Einheiten mit fliegenden Einheiten.;Kill %d units using flying units.
card_requirement_event_wela_triggers_shieldblock;Löse %d Schildblocks bei deinen Einheiten aus.;Trigger %d shield blocks on your own units
card_requirement_event_unit_spawns_footman;Beschwöre %d Fußsoldaten.;Summon %d Footmen.
card_requirement_event_wela_gain_damage_ranged;Lass deine Fernkampfeinheiten insgesamt %d Schaden nehmen.;Let your ranged units take %d damage.
card_requirement_event_unit_spawns_archerprojectile;Lass deine Bogenschützen %d Pfeile abfeuern.;Let your Archers fire %d arrows.
card_requirement_event_wela_triggers_healinfusionchibash;Löse %d mal die Fähigkeit Heilinfusion: Chi-Schmettern aus.;Trigger the ability Healinfusion: Chi-Bash %d times.
card_requirement_event_wela_targets_flatheal;Heile %d Einheiten mit Direktheilungen.;Heal %d units with direct heal.
card_requirement_event_wela_triggers_hailofarrows;Lass insgesamt %d Wellen aus Pfeilen mit dem Zauber Pfeilhagel niedergehen.;Shoot %d waves of arrows using Hail of Arrows.
card_requirement_event_wela_triggers_healinglight;Nutze %d mal die Fähigkeit Heilung.;Use the ability Healing Light %d times.
card_requirement_event_wela_triggers_surgeoflightmodeheal;Heile %d mal mit dem Zauber Lichtschwall.;Heal units %d times using Surge of Light.
card_requirement_event_wela_kills_blind;Töte %d Einheiten die von Blindheit betroffen sind.;Kill %d units affected by blindness.
card_requirement_event_wela_triggers_healinfusionlightgrenades;Aktiviere %d mal die Fähigkeit Heilinfusion: Lichtgranaten.;Activate Healinfusion: Lightgrenades %d times.
card_requirement_event_wela_deaths_melee;Verliere %d Nahkampfeinheiten.;Lose %d melee units.
card_requirement_event_wela_dealt_damage_siege;Füge insgesamt %d Schaden mit Belagerungseinheiten zu.;Deal %d damage using siege units.
card_requirement_event_wela_dealt_damage_rootbyranged;Füge verwurzelten Einheiten insgesamt %d Fernkampfschaden zu.;Deal %d ranged damage to rooted units.
card_requirement_event_wela_triggers_spell;Verwende %d mal einen beliebigen Zauber.;Cast %d spells.
card_requirement_event_wela_deaths_lte50hp;Verliere %d Einheiten mit 50 oder weniger Leben.;Lose %d units with 50 or less maximum health.
card_requirement_event_wela_gain_damage_flatheal;Heile insgesamt %d Leben mit Direktheilungen.;Heal %d health with direct heals.
